PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c15 main 40 HTH aligned aligned
c23 train 1 NYN phase-click-late15 misaligned
c23 train 2 NYN aligned aligned
c23 train 3 OCJ phase-click-early15 misaligned
c23 train 4 OCJ aligned aligned
c23 main 1 ACL aligned aligned
c23 main 2 KPS aligned aligned
c23 main 3 SMA aligned aligned
c23 main 4 HTH phase-click-late15 misaligned
c23 main 5 HSG phase-click-early10 misaligned
c23 main 6 ACL aligned aligned
c23 main 7 HSG aligned aligned
c23 main 8 SMA phase-click-early15 misaligned
c23 main 9 SMA aligned aligned
c23 main 10 ACL phase-click-early10 misaligned
c23 main 11 ACL phase-click-late15 misaligned
c23 main 12 HSG aligned aligned
c23 main 13 KPS aligned aligned
c23 main 14 KPS aligned aligned
c23 main 15 HTH aligned aligned
c23 main 16 SMA aligned misaligned
c23 main 17 SMA phase-click-late15 misaligned
c23 main 18 KPS phase-click-early10 misaligned
c23 main 19 SMA phase-click-late10 misaligned
c23 main 20 HSG phase-click-late15 misaligned
c23 main 21 HSG aligned aligned
c23 main 22 SMA phase-click-early10 misaligned
c23 main 23 ACL phase-click-early15 misaligned
c23 main 24 KPS phase-click-late10 misaligned
